epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,132.54,0.84075,1.26449,0.6389,0.97192,0.67002,0.79506,0.7251,0.51205,0.67002,0.79506,0.72251,0.48498,1.08534,1.91209,0.87009,1.10866,0.00101488,0.00101488,0.00101488
40,135.687,0.80078,1.17714,0.61113,0.94013,0.61149,0.72689,0.69553,0.54333,0.61271,0.72874,0.69607,0.5041,0.9881,1.90123,0.9422,1.08336,0.00100869,0.00100869,0.00100869
41,139.011,0.82802,1.2188,0.62505,0.9478,0.554,0.68174,0.66756,0.50564,0.64797,0.7149,0.69892,0.46169,1.05241,2.17743,1.02281,1.105,0.0010025,0.0010025,0.0010025
42,142.079,0.78653,1.17073,0.5847,0.91977,0.61915,0.62939,0.68011,0.50692,0.67179,0.68688,0.70327,0.4518,1.16556,2.39318,0.94543,1.15499,0.000996313,0.000996313,0.000996313
43,145.124,0.78329,1.19222,0.57509,0.92968,0.61568,0.73752,0.69658,0.52007,0.62083,0.74493,0.71455,0.47877,1.1193,2.03966,0.95305,1.15643,0.000990125,0.000990125,0.000990125
44,148.202,0.83127,1.22682,0.58085,0.94467,0.6087,0.73913,0.63881,0.45499,0.61116,0.74469,0.66797,0.4458,1.08197,2.05098,1.01892,1.13679,0.000983938,0.000983938,0.000983938
45,151.23,0.80211,1.18946,0.58165,0.93569,0.56984,0.65837,0.66123,0.48082,0.6116,0.74483,0.67218,0.44742,1.09362,2.04107,1.09642,1.13229,0.00097775,0.00097775,0.00097775
46,154.233,0.8298,1.23781,0.59537,0.94956,0.59145,0.63587,0.66104,0.46691,0.58846,0.63248,0.64855,0.4364,1.241,2.29987,1.12853,1.18329,0.000971562,0.000971562,0.000971562
47,157.336,0.81388,1.29612,0.59854,0.95355,0.66263,0.70818,0.68257,0.48971,0.75833,0.66924,0.72349,0.47011,1.09159,1.98776,1.02446,1.13375,0.000965375,0.000965375,0.000965375
48,160.388,0.79873,1.25453,0.58693,0.938,0.55459,0.79164,0.65888,0.45685,0.82595,0.65764,0.69536,0.41983,1.23738,2.22936,1.56913,1.20051,0.000959187,0.000959187,0.000959187
