epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,131.106,0.771,0.5132,0.88789,0.80133,0.83038,0.82921,0.55865,1.05133,0.87651,1.05768,0.000854,0.000854,0.000854
66,132.947,0.72464,0.48914,0.88261,0.81401,0.83264,0.83108,0.58449,1.01016,0.87096,1.047,0.000847813,0.000847813,0.000847813
67,134.868,0.73787,0.48573,0.88032,0.79888,0.79453,0.80321,0.55337,1.10448,0.95914,1.07615,0.000841625,0.000841625,0.000841625
68,136.683,0.73298,0.48224,0.88358,0.83334,0.83011,0.82145,0.59216,1.1146,0.94506,1.09519,0.000835438,0.000835438,0.000835438
69,138.569,0.7177,0.48932,0.87716,0.68012,0.77295,0.77832,0.58642,1.02442,0.84721,1.03232,0.00082925,0.00082925,0.00082925
70,140.571,0.71554,0.48024,0.87629,0.82731,0.75282,0.79442,0.55749,1.07093,0.90891,1.03928,0.000823063,0.000823063,0.000823063
71,142.438,0.71671,0.48892,0.87672,0.7911,0.77541,0.77373,0.55265,1.05877,1.11894,1.06187,0.000816875,0.000816875,0.000816875
72,144.325,0.71473,0.4928,0.87449,0.76377,0.81159,0.80344,0.5591,1.04478,0.92831,1.08731,0.000810688,0.000810688,0.000810688
73,146.198,0.72283,0.49042,0.88903,0.82068,0.71524,0.72798,0.53139,1.08992,0.97022,1.07429,0.0008045,0.0008045,0.0008045
74,147.948,0.68957,0.46397,0.86967,0.65319,0.79435,0.76064,0.56137,1.01035,0.93351,1.03437,0.000798313,0.000798313,0.000798313
75,149.7,0.70577,0.46664,0.87559,0.81743,0.72266,0.75662,0.56307,1.0297,0.87482,1.04847,0.000792125,0.000792125,0.000792125
76,151.513,0.70141,0.46488,0.86785,0.82784,0.69166,0.73311,0.56682,1.02716,0.92617,1.04834,0.000785938,0.000785938,0.000785938
77,153.36,0.7016,0.4718,0.87107,0.72935,0.71855,0.75225,0.55711,1.02076,0.88817,1.04163,0.00077975,0.00077975,0.00077975
78,155.209,0.70189,0.47956,0.87173,0.73739,0.80628,0.79648,0.58124,1.00695,0.83857,1.05642,0.000773563,0.000773563,0.000773563
79,157.216,0.69529,0.46535,0.86783,0.79514,0.73231,0.77601,0.56346,1.01715,0.85598,1.05237,0.000767375,0.000767375,0.000767375
80,159.42,0.7045,0.46843,0.86734,0.64034,0.82095,0.75617,0.563,0.99927,0.98733,1.05249,0.000761188,0.000761188,0.000761188
81,161.458,0.69938,0.47857,0.86719,0.69139,0.7748,0.74366,0.55331,1.06497,0.90703,1.07839,0.000755,0.000755,0.000755
82,163.241,0.69009,0.46571,0.87159,0.66986,0.76517,0.75989,0.57066,0.99406,0.85827,1.04634,0.000748813,0.000748813,0.000748813
83,165.04,0.69485,0.45214,0.86687,0.71557,0.77885,0.75149,0.56056,1.03097,0.87355,1.04621,0.000742625,0.000742625,0.000742625
84,166.851,0.68255,0.4493,0.86096,0.75626,0.79122,0.78309,0.58321,0.99887,1.01158,1.04373,0.000736438,0.000736438,0.000736438
85,168.714,0.68477,0.45128,0.8675,0.5608,0.83591,0.73795,0.53701,1.04643,0.95253,1.05814,0.00073025,0.00073025,0.00073025
